table_name,n_vectors,log2_1p_n,ef_search,efs_log2_efs,topk,query_count,mean_latency_ms,median_latency_ms,p95_latency_ms
veda_cost_train_moredata_n300000,300000,18.19460778413342,1,1.0,1,500,0.8085060000000001,0.79,1.3311999999999997
veda_cost_train_moredata_n300000,300000,18.19460778413342,5,11.60964047443681,1,500,1.193732,1.1469999999999998,1.8942999999999997
veda_cost_train_moredata_n300000,300000,18.19460778413342,10,33.219280948873624,1,500,1.524266,1.501,2.2230999999999996
veda_cost_train_moredata_n300000,300000,18.19460778413342,20,86.43856189774725,1,500,2.1125119999999997,2.1395,2.8036499999999984
veda_cost_train_moredata_n300000,300000,18.19460778413342,40,212.8771237954945,1,500,3.2316260000000003,3.321,4.1105
veda_cost_train_moredata_n300000,300000,18.19460778413342,80,505.754247590989,1,500,5.288444,5.436,6.863999999999995
veda_cost_train_moredata_n300000,300000,18.19460778413342,120,828.8268714730223,1,500,7.25483,7.507,9.569199999999999
veda_cost_train_moredata_n300000,300000,18.19460778413342,200,1528.7712379549448,1,500,10.93414,11.293,14.646599999999998
veda_cost_train_moredata_n300000,300000,18.19460778413342,400,3457.54247590989,1,500,17.778937999999997,18.316499999999998,24.3568
veda_cost_train_moredata_n300000,300000,18.19460778413342,800,7715.08495181978,1,500,30.739628,31.560499999999998,42.254749999999994
