table_name,n_vectors,log2_1p_n,ef_search,efs_log2_efs,topk,query_count,mean_latency_ms,median_latency_ms,p95_latency_ms
veda_cost_wiki_current_480000,480000,18.872677885882144,1,1.0,1,50,0.21305999999999994,0.2065,0.34764999999999996
veda_cost_wiki_current_480000,480000,18.872677885882144,5,11.60964047443681,1,50,1.03144,0.793,2.17825
veda_cost_wiki_current_480000,480000,18.872677885882144,10,33.219280948873624,1,50,1.10742,0.949,2.2121499999999994
veda_cost_wiki_current_480000,480000,18.872677885882144,20,86.43856189774725,1,50,2.0493599999999996,2.033,3.3195499999999996
veda_cost_wiki_current_480000,480000,18.872677885882144,40,212.8771237954945,1,50,2.80858,2.975,4.357549999999998
veda_cost_wiki_current_480000,480000,18.872677885882144,80,505.754247590989,1,50,4.05358,3.9725,6.133349999999999
veda_cost_wiki_current_480000,480000,18.872677885882144,120,828.8268714730223,1,50,6.860740000000001,6.967499999999999,10.288349999999998
veda_cost_wiki_current_480000,480000,18.872677885882144,200,1528.7712379549448,1,50,7.800260000000001,8.0885,10.8294
veda_cost_wiki_current_480000,480000,18.872677885882144,400,3457.54247590989,1,50,19.362819999999996,20.433,25.144099999999998
veda_cost_wiki_current_480000,480000,18.872677885882144,800,7715.08495181978,1,50,27.22412,27.683500000000002,35.322849999999995
veda_cost_wiki_current_480000,480000,18.872677885882144,1000,9965.784284662088,1,50,44.281800000000004,44.8765,57.269299999999994
