table_name,n_vectors,log2_1p_n,ef_search,efs_log2_efs,topk,query_count,mean_latency_ms,median_latency_ms,p95_latency_ms
veda_cost_train_moredata_300k_n300000,300000,18.19460778413342,1,1.0,1,500,0.9013620000000001,0.8905000000000001,1.3092999999999988
veda_cost_train_moredata_300k_n300000,300000,18.19460778413342,5,11.60964047443681,1,500,1.520222,1.4495,2.1953999999999994
veda_cost_train_moredata_300k_n300000,300000,18.19460778413342,10,33.219280948873624,1,500,1.7446300000000001,1.7225000000000001,2.40725
veda_cost_train_moredata_300k_n300000,300000,18.19460778413342,20,86.43856189774725,1,500,2.046848,2.0694999999999997,2.6740999999999997
veda_cost_train_moredata_300k_n300000,300000,18.19460778413342,40,212.8771237954945,1,500,2.640292,2.719,3.4573999999999994
veda_cost_train_moredata_300k_n300000,300000,18.19460778413342,80,505.754247590989,1,500,4.566912,4.6205,6.416849999999999
veda_cost_train_moredata_300k_n300000,300000,18.19460778413342,120,828.8268714730223,1,500,6.500526,6.66,8.713599999999998
veda_cost_train_moredata_300k_n300000,300000,18.19460778413342,200,1528.7712379549448,1,500,9.541176000000002,9.780999999999999,12.81775
veda_cost_train_moredata_300k_n300000,300000,18.19460778413342,400,3457.54247590989,1,500,16.123394,16.430500000000002,21.941799999999997
veda_cost_train_moredata_300k_n300000,300000,18.19460778413342,800,7715.08495181978,1,500,21.656404000000002,18.5315,37.88355
